gender,age
Male,67
Female,61
Male,80
Female,49
Female,79
Male,81
Male,74
Female,69
Female,59
Female,78
Female,81
Female,61
Female,54
Male,78
Female,79
Female,50
Male,64
Male,75
Female,60
Male,57
Female,71
Female,52
Female,79
Male,82
Male,71
Male,80
Female,65
Male,58
Male,69
Male,59
Male,57
Male,42
Female,82
Male,80
Male,48
Female,82
Male,74
Female,72
Male,58
Female,49
Male,78
Male,54
Male,82
Female,63
Male,60
Male,76
Female,75
Female,58
Male,81
Female,39
Female,76
Male,78
Female,79
Female,77
Female,63
Male,63
Female,82
Male,78
Male,73
Female,54
Female,56
Female,80
Female,67
Female,45
Male,75
Male,78
Female,70
Male,76
Male,59
Female,80
Female,76
Female,67
Female,66
Male,63
Female,52
Female,80
Male,80
Female,79
Female,51
Male,43
Male,59
Female,66
Female,79
Female,68
Male,58
Male,54
Male,61
Female,70
Male,47
Male,74
Female,79
Male,81
Female,57
Female,80
Male,45
Female,78
Female,70
Male,58
Male,57
Female,69
Male,64
Female,77
Female,74
Female,81
Female,57
Male,58
Female,50
Female,54
Female,79
Female,53
Male,79
Male,80
Female,76
Female,45
Female,68
Male,71
Male,61
Male,74
Female,38
Female,77
Female,58
Female,53
Male,80
Male,56
Female,72
Female,72
Male,78
Female,80
Male,82
Female,75
Female,73
Female,78
Male,69
Female,38
Female,68
Female,71
Male,76
Female,76
Male,76
Female,75
Male,82
Female,59
Female,74
Female,69
Female,72
Male,66
Male,65
Female,78
Female,57
Female,70
Female,79
Male,68
Female,80
Male,68
Female,55
Female,77
Female,50
Female,57
Female,71
Female,81
Female,76
Male,71
Female,1.32
Female,78
Female,70
Male,78
Female,56
Male,79
Female,79
Male,81
Male,64
Female,79
Female,60
Female,80
Female,78
Male,72
Female,80
Male,78
Female,80
Male,81
Female,46
Male,59
Female,32
Female,77
Male,61
Male,63
Male,63
Female,82
Male,82
Male,61
Female,65
Male,51
Male,59
Male,68
Female,72
Male,59
Male,70
Male,69
Male,79
Female,74
Male,74
Male,80
Female,77
Female,78
Male,54
Female,78
Female,81
Male,78
Male,78
Female,63
Female,39
Female,51
Male,63
Female,48
Female,81
Female,79
Male,78
Female,55
Female,76
Male,73
Male,81
Male,79
Female,63
Female,81
Male,49
Female,57
Female,81
Male,74
Female,39
Female,80
Female,81
Female,79
Female,73
Female,77
Male,78
Female,68
Male,57
Male,77
Female,51
Male,60
Male,66
Male,57
Male,68
Female,68
Male,57
Female,14
Female,75
Male,71
Female,78
Male,3
Male,58
Female,8
Female,70
Male,14
Female,47
Female,52
Female,75
Female,32
Female,74
Female,79
Male,79
Female,37
Female,37
Female,40
Male,35
Female,20
Female,42
Female,44
Female,79
Female,65
Female,57
Female,49
Male,71
Female,59
Female,25
Female,67
Female,38
Female,54
Female,70
Male,27
Female,47
Male,58
Female,3
Female,58
Male,14
Female,32
Female,23
Female,55
Female,17
Male,59
Male,13
Male,4
Female,16
Male,67
Female,22
Female,45
Female,66
Male,58
Male,69
Female,58
Female,53
Female,78
Male,44
Male,66
Male,27
Male,43
Female,13
Male,51
Female,30
Male,46
Female,43
Female,79
Female,27
Female,38
Female,78
Male,57
Male,61
Female,37
Female,48
Female,29
Male,22
Male,11
Female,22
Male,53
Male,27
Male,76
Female,57
Male,8
Female,21
Female,18
Female,78
Female,78
Male,33
Female,52
Female,51
Male,11
Female,48
Female,82
Female,54
Female,49
Female,24
Female,37
Male,34
Male,64
Female,66
Female,23
Male,68
Female,55
Female,25
Female,48
Female,79
Female,47
Female,20
Female,60
Female,32
Female,66
Male,43
Female,36
Male,52
Female,29
Female,76
Female,39
Male,76
Female,0.64
Male,34
Female,72
Female,43
Female,57
Female,44
Female,4
Male,44
Female,18
Male,41
Female,23
Female,53
Male,56
Female,0.88
Male,25
Female,14
Female,53
Male,4
Female,39
Male,53
Male,5
Male,4
Female,37
Male,70
Male,24
Male,55
Female,70
Male,34
Male,26
Female,39
Male,38
Female,20
Female,17
Male,60
Female,75
Female,31
Male,58
Female,5
Female,13
Female,22
Female,52
Female,61
Female,78
Male,57
Female,21
Female,22
Female,80
Male,7
Male,64
Female,64
Female,38
Male,12
Female,33
Female,3
Female,37
Female,22
Female,24
Male,75
Female,12
Male,63
Female,52
Female,68
Female,5
Female,56
Female,43
Female,40
Male,53
Female,52
Male,31
Female,63
Female,69
Male,64
Female,64
Female,62
Female,2
Male,53
Male,65
Female,22
Female,26
Male,53
Male,20
Female,63
Male,13
Male,21
Female,65
Male,65
Male,42
Male,72
Male,13
Male,29
Male,59
Female,42
Male,13
Male,75
Female,33
Female,43
Female,11
Female,7
Female,16
Female,44
Female,78
Male,25
Male,69
Female,61
Female,43
Female,38
Male,68
Male,26
Female,18
Female,43
Female,43
Female,32
Female,81
Male,25
Male,61
Female,66
Male,54
Male,11
Female,53
Female,78
Male,9
Female,48
Female,31
Male,20
Male,21
Female,42
Male,35
Male,53
Male,60
Male,74
Female,23
Female,55
Female,71
Male,5
Female,14
Female,15
Female,66
Female,56
Female,60
Female,57
Male,29
Female,76
Male,52
Female,42
Female,71
Male,64
Female,39
Female,46
Female,51
Male,31
Male,22
Male,41
Female,28
Female,44
Female,68
Male,49
Male,10
Female,31
Male,67
Male,40
Male,70
Female,38
Female,5
Female,54
Female,30
Female,23
Female,31
Male,72
Male,23
Female,25
Male,51
Female,20
Female,12
Male,57
Male,65
Female,16
Female,43
Female,30
Male,29
Female,54
Female,57
Male,42
Male,18
Male,9
Female,26
Male,40
Male,77
Female,15
Female,76
Male,52
Female,55
Male,5
Female,55
Male,36
Male,46
Male,5
Female,39
Male,12
Male,67
Female,1.8
Female,72
Female,0.32
Female,64
Male,27
Male,25
Female,81
Female,32
Male,57
Female,52
Male,54
Female,36
Male,18
Male,45
Male,29
Female,51
Female,23
Female,54
Female,54
Male,18
Female,26
Male,72
Male,5
Female,65
Female,42
Female,47
Female,24
Male,57
Male,51
Male,48
Female,56
Female,30
Female,63
Female,46
Female,53
Female,1.08
Male,15
Female,59
Female,24
Male,53
Female,39
Male,23
Male,31
Male,5
Male,44
Female,1.8
Male,40
Male,7
Female,56
Male,42
Male,48
Male,82
Female,52
Female,42
Female,73
Female,55
Male,50
Male,43
Male,33
Female,80
Female,33
Female,74
Male,65
Female,40
Male,52
Female,66
Female,20
Female,51
Female,60
Male,59
Male,58
Female,42
Male,28
Male,57
Female,66
Female,56
Male,48
Male,37
Female,27
Male,15
Male,61
Female,80
Female,43
Male,53
Female,70
Female,58
Female,49
Male,65
Female,54
Male,74
Female,56
Female,79
Male,71
Female,28
Female,9
Female,4
Female,36
Male,78
Male,52
Female,80
Male,28
Female,38
Male,56
Female,75
Male,76
Male,10
Female,48
Male,40
Male,82
Male,61
Female,17
Female,58
Male,12
Female,53
Female,26
Female,48
Male,25
Female,27
Male,31
Female,16
Male,20
Female,2
Female,1.8
Male,28
Male,32
Female,35
Female,52
Female,55
Female,42
Female,52
Female,18
Female,13
Female,45
Female,29
Female,12
Female,37
Female,30
Female,44
Female,79
Male,38
Female,45
Female,66
Female,19
Female,49
Female,66
Male,47
Female,59
Female,23
Female,79
Female,37
Male,78
Female,70
Female,34
Female,28
Male,29
Female,13
Female,22
Male,56
Female,81
Female,28
Male,9
Male,50
Male,70
Female,30
Female,51
Male,24
Male,17
Female,43
Male,9
Male,50
Female,49
Male,6
Male,30
Male,73
Female,20
Male,42
Female,79
Female,55
Female,27
Male,71
Female,9
Male,23
Female,71
Female,56
Male,31
Female,64
Male,46
Male,55
Male,2
Female,58
Female,78
Female,1.16
Female,35
Female,64
Female,18
Male,19
Male,47
Female,54
Female,39
Female,37
Female,17
Female,20
Female,31
Female,56
Female,31
Male,82
Male,33
Male,42
Male,20
Male,22
Male,61
Female,31
Female,31
Male,17
Female,30
Male,69
Female,63
Male,19
Male,7
Female,51
Female,38
Male,2
Female,58
Female,69
Female,64
Female,31
Female,59
Female,54
Female,24
Male,19
Male,17
Female,29
Female,42
Female,31
Female,29
Female,23
Female,25
Female,14
Female,66
Female,77
Male,79
Female,52
Female,41
Female,31
Male,39
Female,51
Female,40
Female,48
Male,55
Male,41
Female,39
Male,41
Female,5
Male,38
Male,40
Male,12
Male,20
Male,53
Female,21
Female,70
Male,61
Male,70
Female,38
Male,59
Female,36
Female,31
Female,65
Male,61
Male,2
Male,52
Female,33
Male,5
Female,32
Female,54
Female,51
Female,39
Female,40
Female,19
Female,9
Male,53
Female,23
Female,19
Male,1
Female,48
Male,71
Male,44
Female,53
Female,70
Female,1.4
Male,49
Female,17
Female,40
Female,46
Female,32
Male,2
Female,40
Female,19
Male,43
Female,46
Male,71
Female,31
Male,41
Male,65
Male,52
Female,20
Female,77
Female,51
Female,37
Male,49
Female,62
Female,17
Female,28
Male,80
Male,45
Female,37
Female,3
Male,26
Female,71
Male,58
Female,59
Male,74
Male,17
Female,62
Male,37
Female,19
Female,59
Female,59
Male,62
Male,80
Female,54
Female,27
Female,4
Male,81
Female,41
Male,27
Female,51
Female,59
Female,51
Male,71
Male,48
Female,49
Female,35
Female,25
Female,31
Female,68
Male,39
Female,32
Female,39
Female,63
Female,69
Female,29
Female,1.72
Female,58
Female,32
Male,63
Male,57
Female,77
Male,8
Female,21
Female,16
